model,year,climate_zone,output_var,input_var,n_samples,pawn_original,pawn_boot_mean,pawn_boot_std,pawn_ci_lower,pawn_ci_upper,pawn_significant
CLASSIC,1991,HW,evapotrans,precipitation,13251,0.29828693772021403,0.3013685782354299,0.007869117192445879,0.28601585616606495,0.3168570440661601,True
CLASSIC,1991,HW,evapotrans,lai,13251,0.3962261303169714,0.396903836945785,0.005921290028863331,0.3855493622331957,0.40861119658650685,True
CLASSIC,1991,HW,tran,precipitation,13251,0.24125504072854353,0.24280940366924347,0.008870352747716914,0.22692848837969667,0.25921177390879335,True
CLASSIC,1991,HW,tran,lai,13251,0.41226339628337055,0.4115007223661414,0.005595402800253445,0.3994425448113458,0.4223219672623208,True
CLASSIC,1991,HW,evspsblveg,precipitation,13251,0.33874340349790233,0.3414374751726828,0.007049544666470897,0.33041926358006,0.3569796327253169,True
CLASSIC,1991,HW,evspsblveg,lai,13251,0.46044627461366394,0.4620519472037747,0.005762444416652075,0.44890879839362113,0.4727893923496167,True
CLASSIC,1991,HW,evspsblsoi,precipitation,13251,0.2447020886287346,0.244787655939933,0.007956520907329085,0.23072427981817,0.2614178300659737,True
CLASSIC,1991,HW,evspsblsoi,lai,13251,0.3998086011308509,0.40257175070119156,0.004822731462150339,0.3935326875333531,0.4125394020688741,True
CLASSIC,1991,HD,evapotrans,precipitation,11829,0.5030846265834692,0.5055858665377307,0.005144135970037223,0.4954815034564049,0.5145239200023394,True
CLASSIC,1991,HD,evapotrans,lai,11829,0.48778633138452876,0.49069914813291277,0.005558790043893705,0.4812618611351517,0.5025658999456296,True
CLASSIC,1991,HD,tran,precipitation,11829,0.4447132037591227,0.4476200244481592,0.005300874676176569,0.43677891084501125,0.45832625171836283,True
CLASSIC,1991,HD,tran,lai,11829,0.6247380340320117,0.6257197754704015,0.004367946904902035,0.6147227164333718,0.6331931042289223,True
CLASSIC,1991,HD,evspsblveg,precipitation,11829,0.4916245054117595,0.4921079629661411,0.006136367349936296,0.48044053963532446,0.5027971463638095,True
CLASSIC,1991,HD,evspsblveg,lai,11829,0.6084221286039504,0.6098698743231504,0.0042490777468979155,0.6014815516717621,0.6175506961807904,True
CLASSIC,1991,HD,evspsblsoi,precipitation,11829,0.43433853738430195,0.43623028699153643,0.006326318910658236,0.4241487910910441,0.44963336358699313,True
CLASSIC,1991,HD,evspsblsoi,lai,11829,0.395309262942264,0.397598439897701,0.008968707741080915,0.3796674402124329,0.41298040549992276,True
CLASSIC,1991,CW,evapotrans,precipitation,22462,0.29437921288098745,0.29499864671960546,0.0068892481665216426,0.28322554517139253,0.30842620370392315,True
CLASSIC,1991,CW,evapotrans,lai,22462,0.30951137185247585,0.311641865575892,0.0058073002722107666,0.3008326607147073,0.3233394135837049,True
CLASSIC,1991,CW,tran,precipitation,22462,0.30946035459835064,0.30929640958428956,0.00592774032677298,0.2967834767068236,0.3200918950828117,True
CLASSIC,1991,CW,tran,lai,22462,0.4341078309122925,0.4350564525964296,0.0038764307992395666,0.42804929903183475,0.44238844686816975,True
