model,year,climate_zone,input_var,output_var,pawn_median,pawn_max,n_samples,hsic
CLASSIC,1991,CD,lai,evapotrans,0.36541116482838354,0.7178171445990376,13122,0.0032642711805498503
CLASSIC,1991,CD,lai,evspsblsoi,0.34046051408730826,0.7165978182768307,13122,0.003493045404215677
CLASSIC,1991,CD,lai,evspsblveg,0.5402337026628153,0.8316637245659777,13122,0.010811724315297132
CLASSIC,1991,CD,lai,tran,0.4987545352991253,0.7710352073510611,13122,0.015466325379403336
CLASSIC,1991,CD,precipitation,evapotrans,0.2728596655153519,0.5981994904957868,13122,0.02432949386291403
CLASSIC,1991,CD,precipitation,evspsblsoi,0.24278081215311464,0.5983517320965881,13122,0.017545274214797808
CLASSIC,1991,CD,precipitation,evspsblveg,0.28271629352700256,0.567400614017898,13122,0.0007813745685999303
CLASSIC,1991,CD,precipitation,tran,0.26486707913099977,0.5834116750495351,13122,0.002227161481440287
CLASSIC,1991,CW,lai,evapotrans,0.31290796614414707,0.5688619065965812,22462,0.0009265909112784879
CLASSIC,1991,CW,lai,evspsblsoi,0.19425813991228963,0.4458649780351978,22462,0.000918261750564001
CLASSIC,1991,CW,lai,evspsblveg,0.5578723318051827,0.7788496039615063,22462,0.005580029517684079
CLASSIC,1991,CW,lai,tran,0.44450237238504636,0.7765220612712993,22462,0.0038714456721351
CLASSIC,1991,CW,precipitation,evapotrans,0.29940862261014345,0.537130601908609,22462,0.015463099584526208
CLASSIC,1991,CW,precipitation,evspsblsoi,0.1384724067012917,0.2441490379358811,22462,0.0005220577369758503
CLASSIC,1991,CW,precipitation,evspsblveg,0.3465264572545089,0.5751147851663199,22462,0.004526358592226661
CLASSIC,1991,CW,precipitation,tran,0.31769676676112,0.4904983175461999,22462,0.006001735207069476
CLASSIC,1991,HD,lai,evapotrans,0.4870280619709988,0.7067411086997891,11829,0.00039215671307291246
CLASSIC,1991,HD,lai,evspsblsoi,0.3807733719163907,0.6603318548830557,11829,0.000376930205034348
CLASSIC,1991,HD,lai,evspsblveg,0.6071542015278726,0.8348992157689167,11829,0.021720867364587382
CLASSIC,1991,HD,lai,tran,0.624485134639449,0.8077622319804181,11829,0.011466141658739765
CLASSIC,1991,HD,precipitation,evapotrans,0.5034718478451842,0.67115654200849,11829,0.05700329152126854
CLASSIC,1991,HD,precipitation,evspsblsoi,0.4310436285671686,0.673269563240105,11829,0.028846984191136314
CLASSIC,1991,HD,precipitation,evspsblveg,0.4912446554310873,0.6570321216529688,11829,0.0017734836705863137
CLASSIC,1991,HD,precipitation,tran,0.44878810462173335,0.6167953209253273,11829,0.009829863893939384
CLASSIC,1991,HW,lai,evapotrans,0.3767861734892205,0.5995007292201289,13251,0.0009653306907079553
CLASSIC,1991,HW,lai,evspsblsoi,0.35935953569897894,0.5873454050459701,13251,0.0022054789858312798
CLASSIC,1991,HW,lai,evspsblveg,0.44007432689309317,0.7737143376185046,13251,0.0021289658241224123
CLASSIC,1991,HW,lai,tran,0.42384270037291594,0.7528990384401963,13251,0.001505011603233996
CLASSIC,1991,HW,precipitation,evapotrans,0.2998676838012248,0.4853677909052198,13251,0.014275527751152895
CLASSIC,1991,HW,precipitation,evspsblsoi,0.1955637866738405,0.4014652934701973,13251,0.0013261743636599672
CLASSIC,1991,HW,precipitation,evspsblveg,0.336548145418638,0.5314934437130413,13251,0.009623673818191979
CLASSIC,1991,HW,precipitation,tran,0.2585697947096006,0.4646972771797979,13251,0.004902926083275714
CLASSIC,1992,CD,lai,evapotrans,0.3779268037239898,0.6860519736343663,13396,0.005634647418014209
CLASSIC,1992,CD,lai,evspsblsoi,0.3426529639054652,0.5172006758580528,13396,0.00518005910843418
CLASSIC,1992,CD,lai,evspsblveg,0.515460173007759,0.8393614935177799,13396,0.011349255404868924
CLASSIC,1992,CD,lai,tran,0.4762307082087324,0.792125071863733,13396,0.014208247705868175
CLASSIC,1992,CD,precipitation,evapotrans,0.32790283951412486,0.5228008829004054,13396,0.027489763292081967
CLASSIC,1992,CD,precipitation,evspsblsoi,0.3269802243401595,0.44933333353135807,13396,0.017113536227255685
CLASSIC,1992,CD,precipitation,evspsblveg,0.32204223809326976,0.5537203485663684,13396,0.0005439971156868476
CLASSIC,1992,CD,precipitation,tran,0.31297760057563473,0.5346225429056994,13396,0.00202388095565453
CLASSIC,1992,CW,lai,evapotrans,0.26113623945611697,0.5589927351781352,22431,0.0007295855389626022
CLASSIC,1992,CW,lai,evspsblsoi,0.17677314932124605,0.40660709089287606,22431,0.0007334517442187346
CLASSIC,1992,CW,lai,evspsblveg,0.5209741438613561,0.7707455567245197,22431,0.0046449115427454465
CLASSIC,1992,CW,lai,tran,0.3951179235863502,0.7900809064613359,22431,0.0032792807335748292
CLASSIC,1992,CW,precipitation,evapotrans,0.24253052845165804,0.5404477828703919,22431,0.016207173833850615
CLASSIC,1992,CW,precipitation,evspsblsoi,0.13646632815253598,0.3092377828093735,22431,0.0008451106104105895
CLASSIC,1992,CW,precipitation,evspsblveg,0.29819146410022473,0.5325114817356473,22431,0.0036141253178053555
CLASSIC,1992,CW,precipitation,tran,0.2470919619475332,0.43370912628793656,22431,0.004252398066126509
CLASSIC,1992,HD,lai,evapotrans,0.4766379525282096,0.6910967583639347,11822,0.0003980816754782206
CLASSIC,1992,HD,lai,evspsblsoi,0.3362015572496683,0.6781570390675213,11822,0.00037793616392779256
CLASSIC,1992,HD,lai,evspsblveg,0.5869477909922164,0.7961639495286021,11822,0.021199746986293237
CLASSIC,1992,HD,lai,tran,0.6263712639917376,0.8046250432414429,11822,0.011840346056086404
CLASSIC,1992,HD,precipitation,evapotrans,0.44931486537045134,0.7102180089540666,11822,0.03719249250015235
CLASSIC,1992,HD,precipitation,evspsblsoi,0.4308739534911681,0.7104663526400461,11822,0.02045650812047577
CLASSIC,1992,HD,precipitation,evspsblveg,0.4523296604742236,0.6405269040871717,11822,0.0014735352684424156
CLASSIC,1992,HD,precipitation,tran,0.3978921187851677,0.6168448268279794,11822,0.005614027956321378
CLASSIC,1992,HW,lai,evapotrans,0.37747659875539963,0.6743025199356816,13257,0.0009270072237654073
